Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
Nirvana X600.1270-BV00R-G-F-M102 i7-12700H 16GBRAM 500GBNVME Windows11Pro+NirvanaSırtÇantası,CASPER,Intel Core i7,12700H,12. Nesil,14,2.3,4.7,16 GB,DDR4,,500 GB,Belirtilmemiş,"15,6 inç",1920 x 1080,FHD+,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Metalik Gri; Gri,2025-12-02 06:31:22,30.999 TL,https://www.trendyol.com/casper/nirvana-x600-1270-bv00r-g-f-m102-i7-12700h-16gbram-500gbnvme-windows11pro-nirvanasirtcantasi-p-898617297?boutiqueId=61&merchantId=147192
"E16 21SR006RTX005 Ultra7 255H 32GB 512SSD 16"" WUXGA FreeDOS Dizüstü Bilgisayar",LENOVO,Intel Core Ultra 7,255H,Series 2,16,1.0,+5,32 GB,DDR5,64 GB,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel Arc Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:31:23,57.699 TL,https://www.trendyol.com/lenovo/e16-21sr006rtx005-ultra7-255h-32gb-512ssd-16-wuxga-freedos-dizustu-bilgisayar-p-1027617358?boutiqueId=61&merchantId=106664
"IP Slim 3 i7-13620H 16GB 512GB SSD Win11 Pro 15.6"" FHD Notebook 83EM005UTR - Wz Çanta",LENOVO,Intel Core i7,13620H,13. Nesil,10,3.6,4.9,16 GB,LPDDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:31:25,35.499 TL,https://www.trendyol.com/lenovo/ip-slim-3-i7-13620h-16gb-512gb-ssd-win11-pro-15-6-fhd-notebook-83em005utr-wz-canta-p-823617382?boutiqueId=61&merchantId=868180
"VivoBook 15 X1502ZA-EJ1069 i5-1235U 8GB 512SSD 15.6"" FullHD FreeDOS Taşınabilir Bilgisayar-CNT0",ASUS,Intel Core i5,1235U,12. Nesil,10,2,,,DDR4,,,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel Iris Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Mavi,2025-12-02 06:31:26,21.349 TL,https://www.trendyol.com/asus/vivobook-15-x1502za-ej1069-i5-1235u-8gb-512ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-cnt0-p-770299619?boutiqueId=61&merchantId=557390
250 G10 9G1E5ET I5-1334U 16GB 512SSD 15.6 Dos Dizüstü Bilgisayar,HP,Intel Core i5,1334u,13. Nesil,10,,,16 GB,DDR4,,512 GB,Belirtilmemiş,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Intel Iris Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:31:27,26.999 TL,https://www.trendyol.com/hp/250-g10-9g1e5et-i5-1334u-16gb-512ssd-15-6-dos-dizustu-bilgisayar-p-928437443?boutiqueId=61&merchantId=124635
"ExpertBook P1 P1403CVA-I58512G0D003 i5-13420H 16GB 1TBSSD 14"" FHD FreeDOS Dizüstü Bilgisayar-CN",ASUS,Intel Core i5,13420H,13. Nesil,8,1.5,4.6,16 GB,DDR5,64 GB,1 TB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:31:28,37.299 TL,https://www.trendyol.com/asus/expertbook-p1-p1403cva-i58512g0d003-i5-13420h-16gb-1tbssd-14-fhd-freedos-dizustu-bilgisayar-cn-p-927798251?boutiqueId=61&merchantId=106664
"LOQ 83JC006ATR19 Ryzen7 7435HS 16GB 512SSD RTX4050 15.6"" FHD W11P Dizüstü Bilgisayar-CNT020",LENOVO,AMD Ryzen 7,7435HS,7. Nesil,8,3.1,4.5,16 GB,DDR5,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Windows,Gri; Siyah,2025-12-02 06:31:30,53.699 TL,https://www.trendyol.com/lenovo/loq-83jc006atr19-ryzen7-7435hs-16gb-512ssd-rtx4050-15-6-fhd-w11p-dizustu-bilgisayar-cnt020-p-882806097?boutiqueId=61&merchantId=106664
"Vivobook 15 X1504ZA-BQ325W03 i7-1255U 16GB 1TBSSD 15.6"" FullHD W11H Taşınabilir Bilgisayar",ASUS,Intel Core i7,1255U,12. Nesil,10,,,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel Iris Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,,Windows,Gümüş,2025-12-02 06:31:31,31.999 TL,https://www.trendyol.com/asus/vivobook-15-x1504za-bq325w03-i7-1255u-16gb-1tbssd-15-6-fullhd-w11h-tasinabilir-bilgisayar-p-761542437?boutiqueId=61&merchantId=917738
"ThinkPad E14 Gen 6 Ultra 7 155H 32GB 512GB SSD 14"" WUXGA Freedos Notebook 21M70031TX 001",LENOVO,Intel Core Ultra 7,155H,Belirtilmemiş,16,1.4,4.8,32 GB,DDR5,,512 GB,HDD Yok,14 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel Arc Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:31:32,53.190 TL,https://www.trendyol.com/lenovo/thinkpad-e14-gen-6-ultra-7-155h-32gb-512gb-ssd-14-wuxga-freedos-notebook-21m70031tx-001-p-880687027?boutiqueId=61&merchantId=114271
Hbcv00004hqjoy,HP,AMD Ryzen 5,5500U,5. Nesil,6,2,4.0,8 GB,DDR4,8 GB,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,AMD Radeon Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Windows,Koyu Gri; Gri,2025-12-02 06:31:33,23.299 TL,https://www.trendyol.com/hp/hbcv00004hqjoy-p-764168874?boutiqueId=61&merchantId=106664
"V15 82TT00A5TX05 i5-1235U 24GB 1TBSSD 15.6"" FullHD FreeDOS Taşınabilir Bilgisayar",LENOVO,Intel Core i5,1235U,12. Nesil,10,2,,24 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel Iris Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,,Free Dos (İşletim Sistemi Yok),Siyah; Gri,2025-12-02 06:31:35,29.999 TL,https://www.trendyol.com/lenovo/v15-82tt00a5tx05-i5-1235u-24gb-1tbssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-760431572?boutiqueId=61&merchantId=334898
"ThinkBook 16 21MS008RTR016 Ultra7 155H 16GB 512SSD 16"" WUXGA W11P Dizüstü Bilgisayar",LENOVO,Intel Core Ultra 7,155H,1. Nesil,16,1.0,4.8,16 GB,DDR5,64 GB,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel Arc Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Gri,2025-12-02 06:31:36,45.799 TL,https://www.trendyol.com/lenovo/thinkbook-16-21ms008rtr016-ultra7-155h-16gb-512ssd-16-wuxga-w11p-dizustu-bilgisayar-p-967086465?boutiqueId=61&merchantId=153128
IdeaPad Slim 3 83EM00C5TR i7-13620H 16G 512G SSD 15.6 FHD FreeDos Arctic Grey,LENOVO,Intel Core i7,13620H,13. Nesil,6,2.4,4.9,16 GB,LPDDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Arctic Grey; Gümüş,2025-12-02 06:31:37,35.499 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-83em00c5tr-i7-13620h-16g-512g-ssd-15-6-fhd-freedos-arctic-grey-p-865260692?boutiqueId=61&merchantId=868180
"D515da-br1424 Amd Ryzen 3 3250u 8gb 256gb Ssd Freedos 15.6"" Taşınabilir Bilgisayar",ASUS,AMD Ryzen 3,3250U,3. Nesil,2,3,,8 GB,DDR4,,256 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,AMD Radeon Graphics,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),GRİ; Gri,2025-12-02 06:31:38,19.899 TL,https://www.trendyol.com/asus/d515da-br1424-amd-ryzen-3-3250u-8gb-256gb-ssd-freedos-15-6-tasinabilir-bilgisayar-p-343651384?boutiqueId=61&merchantId=409439
"LOQ Intel Core i5 12600HX 32GB 1TB SSD RTX3050 W11 15.6"" IPS Taşınabilir Bilgisayar + Çanta",LENOVO,Intel Core i5,12600HX,12. Nesil,12+,3.3,4.6,32 GB,DDR5,64 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,95W,2 kg ve altı,Oyun,4-6 Saat,Windows,Siyah,2025-12-02 06:31:39,51.999 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12600hx-32gb-1tb-ssd-rtx3050-w11-15-6-ips-tasinabilir-bilgisayar-canta-p-985917489?boutiqueId=61&merchantId=339221
"VOSTRO 3530 Intel® Core™ i5-1334U 32GB Ram 1TB SSD   Windows 11 Home 15,6"" FHD",Dell,Intel Core i5,1334u,13. Nesil,10,1.3,4.6,32 GB,DDR4,64 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,SİYAH; Siyah,2025-12-02 06:31:40,34.599 TL,https://www.trendyol.com/dell/vostro-3530-intel-core-i5-1334u-32gb-ram-1tb-ssd-windows-11-home-15-6-fhd-p-877854768?boutiqueId=61&merchantId=153128
Nirvana Z100.1355-BF00X-S-Q Intel Core i7-1355U 16 GB RAM 1TB NVMe SSD Freedos - Oniks Siyah,CASPER,Intel Core i5,1335U,13. Nesil,10,1.3,4.6,16 GB,LPDDR5,16 GB,1 TB,HDD Yok,14 inç,2560 x 1600,QHD,60 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:31:41,38.699 TL,https://www.trendyol.com/casper/nirvana-z100-1355-bf00x-s-q-intel-core-i7-1355u-16-gb-ram-1tb-nvme-ssd-freedos-oniks-siyah-p-806443029?boutiqueId=61&merchantId=114258
"Vivobook 15 13.nesil Core I7 1355U 40GB 2tb SSD 15.6"" W11HOME FhdX1504VA-NJ19432+ZETTAÇANTA",ASUS,Intel Core i7,1355U,13. Nesil,10,2,,40 GB,DDR4,,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Siyah,2025-12-02 06:31:42,"48.999,98 TL",https://www.trendyol.com/asus/vivobook-15-13-nesil-core-i7-1355u-40gb-2tb-ssd-15-6-w11home-fhdx1504va-nj19432-zettacanta-p-802129156?boutiqueId=61&merchantId=106536
"Ideapad Slim 3 83K2001VTR019 i7-13620H 40GB 1TBSSD 16"" WUXGA W11P Dizüstü Bilgisayar",LENOVO,Intel Core i7,13620H,13. Nesil,10,1.8,4.9,40 GB,DDR5,40 GB,1 TB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:31:44,49.799 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-83k2001vtr019-i7-13620h-40gb-1tbssd-16-wuxga-w11p-dizustu-bilgisayar-p-929680538?boutiqueId=61&merchantId=106664
"Nirvana S200 300NIT i7-13620H 64GB DDR5 1TB SSD 16"" Freedos Laptop S200.1362-EF00X-G-F",CASPER,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,64 GB,DDR5,64 GB,1 TB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),60 Hz,IPS,Intel Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Titanyum Grisi; Gri,2025-12-02 06:31:45,44.999 TL,https://www.trendyol.com/casper/nirvana-s200-300nit-i7-13620h-64gb-ddr5-1tb-ssd-16-freedos-laptop-s200-1362-ef00x-g-f-p-898617671?boutiqueId=61&merchantId=114258
"Expertbook B3 Flip B3402fva-ı58512s0d15 I5-1335u 24gb 1tbssd 14"" Fhd Touch W11p Dizüstü Bilgisa",ASUS,Intel Core i5,1335U,13. Nesil,10,1.0,4.6,24 GB,DDR4,,1 TB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),60 Hz,TN,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Siyah,2025-12-02 06:31:46,45.499 TL,https://www.trendyol.com/asus/expertbook-b3-flip-b3402fva-i58512s0d15-i5-1335u-24gb-1tbssd-14-fhd-touch-w11p-dizustu-bilgisa-p-890689167?boutiqueId=61&merchantId=153128
"Vostro 3520 N3002PVNB3520U i5-1235U 8GB 512SSD 15.6"" FullHD FreeDOS Dizüstü Bilgisayar",Dell,Intel Core i5,1235U,12. Nesil,10,1.3,3.3,8 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,TN,Intel Iris Graphics,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:31:47,25.009 TL,https://www.trendyol.com/dell/vostro-3520-n3002pvnb3520u-i5-1235u-8gb-512ssd-15-6-fullhd-freedos-dizustu-bilgisayar-p-867414571?boutiqueId=61&merchantId=815914
"Amd Ryzen 3 3250u 8gb 256gb Ssd Freedos 15.6"" Taşınabilir Bilgisayar D515da-bq1123t1",ASUS,AMD Ryzen 3,3250U,Belirtilmemiş,2,2.6,3.5,8 GB,DDR4,,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:31:49,19.899 TL,https://www.trendyol.com/asus/amd-ryzen-3-3250u-8gb-256gb-ssd-freedos-15-6-tasinabilir-bilgisayar-d515da-bq1123t1-p-350235847?boutiqueId=61&merchantId=409439
"Nirvana X650 Series 2 Core 5-210H 32GB DDR5 500GB SSD Dos 15.6"" Laptop X650.210H-DV00X-G-F",CASPER,Intel Core 5,210H,Series 2,8,2.2,4.8,32 GB,DDR5,32 GB,500 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Metalik Gri,2025-12-02 06:31:50,28.899 TL,https://www.trendyol.com/casper/nirvana-x650-series-2-core-5-210h-32gb-ddr5-500gb-ssd-dos-15-6-laptop-x650-210h-dv00x-g-f-p-941992599?boutiqueId=61&merchantId=114258
"250 G10 9g1e6et16 İ7-1355U 64gb 2tbssd 15.6"" Fhd W11p Dizüstü Bilgisayar-cnt017",HP,Intel Core i7,1355U,13. Nesil,10,1.2,5.0,64 GB,DDR4,,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,SVA,Intel XE Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Windows,Gri,2025-12-02 06:31:52,56.099 TL,https://www.trendyol.com/hp/250-g10-9g1e6et16-i7-1355u-64gb-2tbssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt017-p-882233052?boutiqueId=61&merchantId=106664
"l Precision M7680 XCTOP7680EMEA_VP2A11 i9-13950HX 64GB 2TBSSD+2TBSSD A5000 16"" FullHD+ W11P Dizüs",Dell,Intel Core i9,13950HX,13. Nesil,24,2,5.0,64 GB,DDR5,16 GB,4 TB,HDD Yok,16 inç,1920 x 1200,FHD+,60 Hz,IPS,Nvidia RTX A5000,Harici,16 GB,GDDR6,,2 - 4 kg,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:31:53,266.299 TL,https://www.trendyol.com/dell/l-precision-m7680-xctop7680emea-vp2a11-i9-13950hx-64gb-2tbssd-2tbssd-a5000-16-fullhd-w11p-dizus-p-787856646?boutiqueId=61&merchantId=106664
"Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 1tB SSD Windows 11 15.6"" FHD Taşınabilir Bilgisayar",LENOVO,AMD Ryzen 7,5825U,7. Nesil,8,2,4.3,16 GB,DDR4,16 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),GRİ; Gri,2025-12-02 06:31:55,28.299 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-amd-ryzen-7-5825u-16gb-1tb-ssd-windows-11-15-6-fhd-tasinabilir-bilgisayar-p-764992063?boutiqueId=61&merchantId=557390
"255 G8 7N4W2AA03 Ryzen5 5500U 16GB 256SSD 15.6"" FullHD W11H Taşınabilir Bilgisayar",HP,AMD Ryzen 5,5500U,5. Nesil,6,2,4.0,16 GB,DDR4,8 GB,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,AMD Radeon Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Windows,Koyu Gri; Gri,2025-12-02 06:31:56,25.099 TL,https://www.trendyol.com/hp/255-g8-7n4w2aa03-ryzen5-5500u-16gb-256ssd-15-6-fullhd-w11h-tasinabilir-bilgisayar-p-763844943?boutiqueId=61&merchantId=106664
Vivobook 15 X1502VA-NJ87101 i5-13420H 16GB 512GB SSD 15.6 FHD FreeDOS,ASUS,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,16 GB,DDR4,40 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ev - Okul,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:31:58,27.999 TL,https://www.trendyol.com/asus/vivobook-15-x1502va-nj87101-i5-13420h-16gb-512gb-ssd-15-6-fhd-freedos-p-945091757?boutiqueId=61&merchantId=1069329
"Vivobook 15 X1502VA-NJ871 i5-13420H 8GB 512SSD 15.6"" FullHD FreeDOS Dizüstü Bilgisayar",ASUS,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,8 GB,DDR4,40 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:31:59,26.999 TL,https://www.trendyol.com/asus/vivobook-15-x1502va-nj871-i5-13420h-8gb-512ssd-15-6-fullhd-freedos-dizustu-bilgisayar-p-936850085?boutiqueId=61&merchantId=334898
"Vivobook X1504VA-NJ426WEP5 Intel i7-1355U 32 GB 512GB SSD 15.6"" Full HD Windows 11 + EP Çanta",ASUS,Intel Core i7,1355U,13. Nesil,10,1.7,4.6,32 GB,DDR4,32 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Belirtilmemiş,3 Saat ve Altı,Windows,,2025-12-02 06:32:00,44.999 TL,https://www.trendyol.com/asus/vivobook-x1504va-nj426wep5-intel-i7-1355u-32-gb-512gb-ssd-15-6-full-hd-windows-11-ep-canta-p-930221334?boutiqueId=61&merchantId=125175
"Vivobook 15 Intel® Core™ i5-1235U  16GB Ram 1TB SSD   W11 Home 15,6"" FHD Taşınabilir Bilgisayar",ASUS,Intel Core i5,1235U,12. Nesil,10,1.3,4.4,16 GB,DDR4,40 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ev - Okul,4-6 Saat,Windows,GRİ; Gri,2025-12-02 06:32:01,30.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-16gb-ram-1tb-ssd-w11-home-15-6-fhd-tasinabilir-bilgisayar-p-856346357?boutiqueId=61&merchantId=334898
"Nirvana S100 300NIT Series 2 Core 9-270H 32GB DDR5 1TB SSD 16"" Freedos Laptop S100.270H-DF00X-G-F",CASPER,Intel Core 9,270H,Series 2,14,2.7,4.6,32 GB,DDR5,32 GB,1 TB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),60 Hz,IPS,Intel Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Titanyum Grisi,2025-12-02 06:32:03,53.999 TL,https://www.trendyol.com/casper/nirvana-s100-300nit-series-2-core-9-270h-32gb-ddr5-1tb-ssd-16-freedos-laptop-s100-270h-df00x-g-f-p-939130774?boutiqueId=61&merchantId=114258
"VIVOBOOK 15 i5-1335U 40GB RAM 512GB SSD 15.6"" Windows 11 Pro X1504VA-NJ1423 K15",ASUS,Intel Core i5,1355U,13. Nesil,Belirtilmemiş,1.7,4.6,40 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,6 Saat ve Üstü,Windows,Beyaz,2025-12-02 06:32:04,34.899 TL,https://www.trendyol.com/asus/vivobook-15-i5-1335u-40gb-ram-512gb-ssd-15-6-windows-11-pro-x1504va-nj1423-k15-p-899592632?boutiqueId=61&merchantId=153128
,,Intel Celeron,N4020,7. Nesil,2,1.9,,4 GB,DDR4,,256 GB,HDD Yok,11 inç,1366 x 768,HD Ready (HD),Belirtilmemiş,,Intel HD Graphics 620,Dahili,Paylaşımlı,DDR4,,2 kg ve altı,Ev - Okul,,Windows,Koyu Mavi; Mavi,2025-12-02 06:32:05,19.900 TL,https://www.trendyol.com/dynabook/satellite-pro-e10-s-101-intel-core-celeron-n4020-4gb-256gb-11-6-hd-win10pro-p-217202201?boutiqueId=61&merchantId=160220
"TUF F15 FX507VV-LP243EP10 i7-13620H 32 GB RAM 2 TB SSD Win11 Pro RTX4060 15.6"" FHD + EP Çanta",ASUS,Intel Core i7,13620H,13. Nesil,10,2,4.9,32 GB,DDR5,32 GB,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Windows,,2025-12-02 06:32:07,"89.098,90 TL",https://www.trendyol.com/asus/tuf-f15-fx507vv-lp243ep10-i7-13620h-32-gb-ram-2-tb-ssd-win11-pro-rtx4060-15-6-fhd-ep-canta-p-938469546?boutiqueId=61&merchantId=125175
"Vivobook 15 i3-1315U 24GB 512GB SSD 15.6"" FHD Freedos Taşınabilir Bilgisayar X1504VA-NJ2379 002",ASUS,Intel Core i3,1315U,13. Nesil,6,1.2,4.5,24 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,LED,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:32:08,29.890 TL,https://www.trendyol.com/asus/vivobook-15-i3-1315u-24gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-x1504va-nj2379-002-p-932093733?boutiqueId=61&merchantId=114271
"Loq 15ıax9 83gs0013tr Intel Core I5 12450hx 16gb 512gb Ssd Rtx3050 Freedos 15.6"" Fhd Notebook",LENOVO,Intel Core i5,12450H,12. Nesil,8,3.1,4.4,16 GB,DDR5,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri; Siyah,2025-12-02 06:32:10,37.749 TL,https://www.trendyol.com/lenovo/loq-15iax9-83gs0013tr-intel-core-i5-12450hx-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-notebook-p-857521743?boutiqueId=61&merchantId=125175
"Nirvana X600 i7-13620H 32GB 2TB SSD 15.6"" W11P Laptop X600.1362-DX00R-G-F",CASPER,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,32 GB,DDR4,,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Metalik Gri; Siyah,2025-12-02 06:32:11,44.999 TL,https://www.trendyol.com/casper/nirvana-x600-i7-13620h-32gb-2tb-ssd-15-6-w11p-laptop-x600-1362-dx00r-g-f-p-843750300?boutiqueId=61&merchantId=147192
