Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
"Victus AMD Ryzen 5-8645HS 16GB 512GB RTX3050 6GB Freedos 15.6"" FHD IPS 144Hz Gaming Laptop B9KM2EA",HP,AMD Ryzen 5,8645HS,8. Nesil,6,3.8,5.0,16 GB,DDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,50W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),,2025-12-02 06:07:57,29.930 TL,https://www.trendyol.com/hp/victus-amd-ryzen-5-8645hs-16gb-512gb-rtx3050-6gb-freedos-15-6-fhd-ips-144hz-gaming-laptop-b9km2ea-p-929697232?boutiqueId=61&merchantId=1179738
"LOQ Intel Core i5-12600HX 24G 512GB SSD RTX4050 15.6"" FHD 144Hz 105W FreeDOS Gaming PC 83GS00P6TR",LENOVO,Intel Core i5,12600HX,12. Nesil,12+,2.1,4.6,24 GB,DDR5,32 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,105W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:07:58,38.550 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12600hx-24g-512gb-ssd-rtx4050-15-6-fhd-144hz-105w-freedos-gaming-pc-83gs00p6tr-p-892391469?boutiqueId=61&merchantId=1080831
"Alfa 620c Intel Celeron N4020 4 Gb 128 Gb Ssd Windows 11 14.1"" Tn Taşınabilir Bilgisayar",Hometech,Intel Celeron,N4020,4. Nesil,2,1.1,2.8,4 GB,Belirtilmemiş,4 GB,128 GB,HDD Yok,"14,1 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,,Belirtilmemiş,Ev - Okul,3 Saat ve Altı,Windows,GÜMÜŞ; Gümüş,2025-12-02 06:07:59,6.729 TL,https://www.trendyol.com/hometech/alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-p-658259965?boutiqueId=61&merchantId=908780
"AMD Ryzen 5 5625U 16GB 512GB M.2 SSD W11pro 15.6"" Notebook+Çanta",LENOVO,AMD Ryzen 5,5625U,Belirtilmemiş,6,2.3,3.1,16 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,3 Saat ve Altı,Windows,gri; Siyah,2025-12-02 06:08:01,20.999 TL,https://www.trendyol.com/lenovo/amd-ryzen-5-5625u-16gb-512gb-m-2-ssd-w11pro-15-6-notebook-canta-p-838221473?boutiqueId=61&merchantId=441895
"14-EP0014NT Intel Core i3-N305 8GB 512GB SSD DOS 14"" FHD  Gece Mavisi Laptop ( Türkiye Garantili)",HP,Intel Core i3,N305,13. Nesil,8,1.2,3.8,8 GB,DDR4,,512 GB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),60 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gece Mavisi; Lacivert,2025-12-02 06:08:02,17.999 TL,https://www.trendyol.com/hp/14-ep0014nt-intel-core-i3-n305-8gb-512gb-ssd-dos-14-fhd-gece-mavisi-laptop-hp-turkiye-garantili-p-712241023?boutiqueId=61&merchantId=141868
Ideapad Slim 3 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-W11,LENOVO,Intel Core i5,Belirtilmemiş,12. Nesil,8,3,4.4,8 GB,DDR5,,512 GB,512 GB,16 inç,1920 x 1080,HD Ready (HD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Windows,Gri,2025-12-02 06:08:03,23.399 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-12-nesil-core-i5-12450h-8gb-512gb-ssd-w11-p-779234648?boutiqueId=61&merchantId=1007811
"13"" MacBook Air:  M4 chip with 10-core CPU and 8-core GPU, 16GB, 256GB SSD - Gümüş",Apple,Apple M4,Apple M4,4. Nesil,10,3.2,,16 GB,Birleşik Bellek,,256 GB,HDD Yok,"13,6 inç",2560 x 1664,Ultra HD 4K (UHD),60 Hz,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Mac Os,Gümüş; Gri,2025-12-02 06:08:05,45.390 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-gumus-p-904728347?boutiqueId=61&merchantId=141868
"Loq Intel Core I5-12450hx 16gb 512gb Ssd Rtx™ 3050 6gb 15,6"" Gaming Laptop 83gs008gtr",LENOVO,Intel Core i5,12450HX,12. Nesil,8,Belirtilmemiş,4.4,16 GB,DDR5,32 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,95W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Ay Grisi; Gri,2025-12-02 06:08:06,"35.998,88 TL",https://www.trendyol.com/lenovo/loq-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-3050-6gb-15-6-gaming-laptop-83gs008gtr-p-854905322?boutiqueId=61&merchantId=204934
Inspiron 15 3520 I5-1235U 32 GB  1 TBSSD  15.6 Inç Fhd 120Hz Windows 11 Pro I352024052009UAR114,Dell,Intel Core i5,1235U,12. Nesil,10,2,,32 GB,DDR4,32 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:08:07,34.999 TL,https://www.trendyol.com/dell/inspiron-15-3520-i5-1235u-32-gb-1-tbssd-15-6-inc-fhd-120hz-windows-11-pro-i352024052009uar114-p-817772696?boutiqueId=61&merchantId=153128
"Abra A7 V15.3.4 Intel Core i5 13500H 16 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 17,3"" FHD 144 Hz",MONSTER,Intel Core i5,13500H,13. Nesil,12+,2.6,4.7,16 GB,DDR4,64 GB,1 TB,HDD Yok,"17,3 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,75W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:08:08,42.972 TL,https://www.trendyol.com/monster/abra-a7-v15-3-4-intel-core-i5-13500h-16-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-894064414?boutiqueId=61&merchantId=141868
"15.6"" CYBORG 15 A13VE-897XTR CORE i7 13620H-16GB DDR5 RAM-6GB RTX4050-1TB NVME-FDOS",MSI,Intel Core i7,13620H,13. Nesil,10,2,2.1,16 GB,DDR5,64 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:08:10,45.499 TL,https://www.trendyol.com/msi/15-6-cyborg-15-a13ve-897xtr-core-i7-13620h-16gb-ddr5-ram-6gb-rtx4050-1tb-nvme-fdos-p-804410204?boutiqueId=61&merchantId=105013
"Vivobook 15 Intel® Core™ I5-13420H 24gb Ram 1tb Ssd W11 Pro 15,6"" Fhd",ASUS,Intel Core i5,1235U,12. Nesil,10,1.3,4.4,24 GB,DDR4,40 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ev - Okul,4-6 Saat,Windows,GRİ; Gri,2025-12-02 06:08:11,31.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-13420h-24gb-ram-1tb-ssd-w11-pro-15-6-fhd-p-856346804?boutiqueId=61&merchantId=996557
"Inspiron 3520 Intel Core i5 1235U 16 gb 512 GBSSD Windows 11 Home 15.6"" FHD 120Hz 3520AR17",Dell,Intel Core i5,1235U,12. Nesil,8,3.3,4.2,16 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,LED,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,3 Saat ve Altı,Windows,siyah; Siyah,2025-12-02 06:08:12,27.799 TL,https://www.trendyol.com/dell/inspiron-3520-intel-core-i5-1235u-16-gb-512-gbssd-windows-11-home-15-6-fhd-120hz-3520ar17-p-791970559?boutiqueId=61&merchantId=153128
